Node_BC,node_cn_0,score_cn_0,node_cn_1,score_cn_1,node_cn_2,score_cn_2
Riz,riz,12.797861,vin de riz,11.919941,eriz,11.919941
Riz Thaï (Riz jasmin),jasmin,35.1177,faux jasmin,33.11982,jasmine,33.11982
Robe,robe,19.076843,rober,17.8522,arobe,17.8522
Robot multifonction,multifonction,52.77715,multifonctions,50.62977,multifonctionnel,46.819794
Rose fleur coupée hors sol,fleur coupée,43.63215,coupée,31.181623,coupées,29.40767
Roulier,le roulier,29.053722,roulier,29.053722,rouliers,27.4898
Sac à dos,sac à dos,18.512056,sacs à dos,17.32367,dos à dos,12.009859
Salade,salade,29.413021,salades,29.413021,salade de blé,27.739685
Salade de fruits,salade de fruits,51.430058,salades de fruits,51.430058,fruits,34.426666
Salade de tomates,salade,29.413021,salades,29.413021,salade de blé,27.739685
Salade de tomates mozzarella,mozzarella,56.57246,mozzarellas,53.950634,mozzarelle,52.32297
Salade niçoise,salade niçoise,57.96245,salades niçoises,57.96245,niçoise,43.412933
Salade verte,salade,29.413021,salades,29.413021,salade de blé,27.739685
Salon de jardin,jardin,29.365705,le jardin,29.365705,rez de jardin,27.69506
Sauce tomate,sauce tomate,43.715614,sauces tomate,43.715614,tomate,26.925404
Saucisse de porc,saucisse,35.040356,saucisses,35.040356,saucisson,31.965036
Saucisson de porc,saucisson,37.616203,saucissons,35.694798,saucissonna,33.960144
Saumure (chlorure de sodium),chlorure de sodium,67.31117,chlorure de rubidium,50.13939,fluorure de sodium,49.267097
Scanner,scanner,28.461344,scannera,26.929306,scanners,26.929306
Sciures et chutes de scieries,sciures,46.335335,sciure,44.45661,scieries,38.735767
Sciures et chutes de scieries_,sciures,46.335335,sciure,44.45661,scieries,38.735767
Scories thomas,thomas,29.677269,scories,28.951082,le bec thomas,27.988901
Séche linge,lave linge séchant,25.394857,sèche linge,21.87048,linge,20.570688
Séche-linge,lave linge séchant,25.394857,sèche linge,21.87048,linge,20.570688
Sèche-linge,sèche linge,40.38817,sèche,27.595676,sèches,25.931025
Sel,sel,9.516992,le sel,9.516992,self,8.864135
Semoule,semoules,31.927877,semoule,31.927877,semoulerie,27.273094
Serres chauffées,chauffées,44.99826,échauffées,42.811485,chauffée,42.740074
Serres horticoles,horticoles,40.591118,horticole,40.591118,corticoles,34.106094
Serveurs informatiques,informatiques,47.987846,bio informatiques,45.95252,informatique,45.43287
Service,service,33.795006,services,33.795006,service web,31.975863
Smartphone,smartphone,55.772984,smartphones,53.18821,smartphoner,53.18821
Soda,soda,21.013794,sodar,19.664806,sodas,19.664806
Sol traité liant routier,train routier,31.035969,routier,28.518312,trains routiers,28.28668
"Sol, carreaux de plâtre",être sur le carreau,33.68761,carreau,32.80662,carreaux,32.80662
"Sol, revêtement PVC homogène",revêtement de sol,50.740547,homogènement,49.014072,revêtement,47.4458
Solution azotée,solution,34.793205,azotée,34.31298,solutions,33.016
Sommier,sommier,34.200844,sommiers,32.359856,sommiez,29.328407
Sorgho,sorgho,39.47982,sorghos,37.233772,sorgho commun,31.80544
Soude 50%,soude,22.647299,soudes,22.647299,souder,21.281147
"Soude solide (poudre, granulés)",granulés,40.50496,poudre,38.363567,soudre,37.483658
Soupe à l'oignon,soupe à l oignon,41.895054,oignon,28.591303,moignon,28.591303
Spaghetti à la bolognaise,spaghetti,50.6669,spaghettis,48.204647,spaghettifia,43.934494
"Sport d'hiver, casque de skis",sport d hiver,39.11918,sport d’hiver,39.11918,sports d’hiver,37.121006
"Sport d'hiver, paire de skis",sport d hiver,39.11918,sport d’hiver,39.11918,sports d’hiver,37.121006
"Sport d'hiver, snowboard",snowboard,67.194,snowboards,63.92858,snowboardeur,58.26554
"Sport nautique, planche à voile",sport nautique,42.361176,planche à voile,42.348812,faire de la planche à voile,36.960342
Steak de boeuf,boeuf,34.422195,boeufs,32.345745,qui vole un oeuf vole un boeuf,31.043571
Steak-frites,friteau,28.08038,steak,27.644129,steaks,25.976553
Stéréo,stéréo,29.72921,stéréon,28.037886,stéréos,28.037886
Sucre,sucre,29.569988,d sucre,29.569988,su sucre,29.569988
Sulfate d'ammonium,sulfate d ammonium,62.44126,sulfamate d’ ammonium,50.962357,sulfate ammoniacal d’ aluminium,44.64467
Sulfate de sodium,sulfate de sodium,61.366066,thiosulfate de sodium,51.76917,laureth sulfate de sodium,49.821312
Sulfochaux,sulfochlorure,31.72036,sulfochlorures,30.429731,sulfocyanure,28.29665
Sulfosol,sulfosel,33.8689,sulfosate,32.13891,sulfosels,32.13891
Sushis,sushis,35.162483,pays des sushis,31.376984,sushi,30.173965
Sweat,sweat,39.658035,sweats,37.265747,sweater,35.14566
Switch routeur firewall,firewall,47.998344,switch,39.242718,switcha,37.010162
T-shirt,t shirt,30.563406,t shirts,28.71973,tee shirt,28.71973
Table,table,22.011465,tables,22.011465,la table,22.011465
Tableau électrique,bleu électrique,41.47709,électrique,40.298893,câble électrique,39.639984
Tablette,tablette,35.113148,tablettes,35.113148,tabletter,33.3196
Tagliatelles à la carbonara,tagliatelle,50.72533,tagliatelles,50.72533,carbonara,41.192677
Tajine d'agneau,tajine,45.079227,tajines,42.514626,agneaux,30.423246
